dataset,architecture,implementation,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
diabetes,improved,pytorch,1,0.539978218615336,0.5202941298484802,0.6957321559970566,0.28885748889786034,0.8096944549226707,0.4258083713548899,0.8173312620039679
diabetes,improved,pytorch,2,0.5144112873259611,0.5232000946998596,0.7592504993167245,0.33076045960880623,0.7112410411165598,0.4515356522780339,0.8206284852900102
diabetes,improved,pytorch,3,0.5122128801312721,0.5134368538856506,0.7261379165352675,0.3083776297072696,0.7768766503206337,0.4415027600621684,0.8221181607977401
diabetes,improved,pytorch,4,0.5085767130161714,0.5197041630744934,0.7515505098286556,0.32613065326633167,0.7344398340248963,0.45168773924138733,0.8226195875962117
diabetes,improved,pytorch,5,0.5083108048713857,0.5118285417556763,0.699095973930411,0.291790842590084,0.8125235760090532,0.4293830359812618,0.8233687417393984
diabetes,improved,pytorch,6,0.5074523015677559,0.5204238295555115,0.655970776831704,0.2693514954101273,0.8577895133911732,0.4099698021363862,0.8234689314992758
diabetes,improved,pytorch,7,0.5061032514349562,0.5120853781700134,0.7300273310207085,0.31197518723050155,0.7778196906827612,0.44533232546838725,0.8239758610462422
diabetes,improved,tensorflow,1,0.5399026035540634,0.5206604599952698,0.6925785766845369,0.2867431315017338,0.8110147114296492,0.4236870627648044,0.8170623702419656
diabetes,improved,tensorflow,2,0.5142790224727328,0.5229793190956116,0.7595132975927678,0.33149461518255846,0.7140701622029423,0.4527895712491778,0.820814930848506
diabetes,improved,tensorflow,3,0.5119033641909507,0.5132087469100952,0.7235362136024388,0.3064540059347181,0.7791399471897397,0.43988925567032267,0.8223065356296486
diabetes,improved,tensorflow,4,0.5084029710168902,0.5195581316947937,0.7504730368968779,0.325247978661332,0.7359486986043002,0.4511243424475403,0.822386758849462
diabetes,improved,tensorflow,5,0.5081892252446224,0.5114173293113708,0.703616104278356,0.29466739967014843,0.8087514145605432,0.43195325878916085,0.8235000734275703
